Pathway.1,pathwayID,big.annotion
Metabolic.pathways,P01,Metabolism
Glyoxylate.and.dicarboxylate.metabolism,P02,Metabolism
Tyrosine.metabolism,P03,Metabolism
Propanoate.metabolism,P04,Metabolism
Phenylalanine.tyrosine.and.tryptophan.biosynthesis,P05,Metabolism
Penicillin.and.cephalosporin.biosynthesis,P06,Metabolism
Nitrogen.metabolism,P07,Metabolism
Naphthalene.degradation,P08,Metabolism
Monobactam.biosynthesis,P09,Metabolism
Microbial.metabolism.in.diverse.environments,P10,Metabolism
Lysine.biosynthesis,P11,Metabolism
Glycosphingolipid.biosynthesis._.lacto.and.neolacto.series,P12,Metabolism
Fructose.and.mannose.metabolism,P13,Metabolism
Cysteine.and.methionine.metabolism,P14,Metabolism
Cyanoamino.acid.metabolism,P15,Metabolism
Chloroalkane.and.chloroalkene.degradation,P16,Metabolism
beta_Alanine.metabolism,P17,Metabolism
Arginine.biosynthesis,P18,Metabolism
Pyrimidine.metabolism,P19,Metabolism
Various.types.of.N_glycan.biosynthesis,P20,Metabolism
Phenylalanine.metabolism,P21,Metabolism
Other.types.of.O_glycan.biosynthesis,P22,Metabolism
Glycosphingolipid.biosynthesis._.globo.and.isoglobo.series,P23,Metabolism
Glycosphingolipid.biosynthesis._.ganglio.series,P24,Metabolism
Ether.lipid.metabolism,P25,Metabolism
Alanine.aspartate.and.glutamate.metabolism,P26,Metabolism
Tropane.piperidine.and.pyridine.alkaloid.biosynthesis,P27,Metabolism
Starch.and.sucrose.metabolism,P28,Metabolism
Sphingolipid.metabolism,P29,Metabolism
Purine.metabolism,P30,Metabolism
Peptidoglycan.biosynthesis,P31,Metabolism
Other.glycan.degradation,P32,Metabolism
Novobiocin.biosynthesis,P33,Metabolism
Glycosylphosphatidylinositol.GPI_anchor.biosynthesis,P34,Metabolism
Glycosaminoglycan.degradation,P35,Metabolism
Galactose.metabolism,P36,Metabolism
Flavone.and.flavonol.biosynthesis,P37,Metabolism
Degradation.of.aromatic.compounds,P38,Metabolism
Benzoate.degradation,P39,Metabolism
Amino.sugar.and.nucleotide.sugar.metabolism,P40,Metabolism
2_Oxocarboxylic.acid.metabolism,P41,Metabolism
RNA.polymerase,P42,Genetic.Information.Processing
RNA.degradation,P43,Genetic.Information.Processing
Nucleotide.excision.repair,P44,Genetic.Information.Processing
mRNA.surveillance.pathway,P45,Genetic.Information.Processing
Mismatch.repair,P46,Genetic.Information.Processing
Homologous.recombination,P47,Genetic.Information.Processing
DNA.replication,P48,Genetic.Information.Processing
Aminoacyl_tRNA.biosynthesis,P49,Genetic.Information.Processing
Phosphotransferase.system.PTS,P50,Environmental.Information.Processing
HIF_1.signaling.pathway,P51,Environmental.Information.Processing
ECM_receptor.interaction,P52,Environmental.Information.Processing
AMPK.signaling.pathway,P53,Environmental.Information.Processing
Two_component.system,P54,Environmental.Information.Processing
Bacterial.secretion.system,P55,Environmental.Information.Processing
Focal.adhesion,P56,Cellular.Processes
Biofilm.formation._.Escherichia.coli,P57,Cellular.Processes
Tight.junction,P58,Cellular.Processes
Meiosis._.yeast,P59,Cellular.Processes
Lysosome,P60,Cellular.Processes
Biofilm.formation._.Pseudomonas.aeruginosa,P61,Cellular.Processes
Bacterial.chemotaxis,P62,Cellular.Processes
Autophagy._.yeast,P63,Cellular.Processes
Apoptosis,P64,Cellular.Processes
Vascular.smooth.muscle.contraction,P65,Organismal.Systems
Toll.and.Imd.signaling.pathway,P66,Organismal.Systems
Protein.digestion.and.absorption,P67,Organismal.Systems
Synaptic.vesicle.cycle,P68,Organismal.Systems
Chemokine.signaling.pathway,P69,Organismal.Systems
Plant_pathogen.interaction,P70,Organismal.Systems
Longevity.regulating.pathway._.multiple.species,P71,Organismal.Systems
Glucagon.signaling.pathway,P72,Organismal.Systems
Carbohydrate.digestion.and.absorption,P73,Organismal.Systems
Type.I.diabetes.mellitus,P74,Human.Diseases
MicroRNAs.in.cancer,P75,Human.Diseases
Staphylococcus.aureus.infection,P76,Human.Diseases
Pertussis,P77,Human.Diseases
Epithelial.cell.signaling.in.Helicobacter.pylori.infection,P78,Human.Diseases
Viral.carcinogenesis,P79,Human.Diseases
Type.II.diabetes.mellitus,P80,Human.Diseases
Rheumatoid.arthritis,P81,Human.Diseases
Legionellosis,P82,Human.Diseases
Dilated.cardiomyopathy,P83,Human.Diseases
Choline.metabolism.in.cancer,P84,Human.Diseases
beta_Lactam.resistance,P85,Human.Diseases
Bacterial.invasion.of.epithelial.cells,P86,Human.Diseases
