label,Phylum
Elusimicrobium,Elusimicrobia
Christensenella,Firmicutes
Clostridium_sensu_stricto,Firmicutes
Finegoldia,Firmicutes
Pseudoramibacter,Firmicutes
Peptoniphilus,Firmicutes
Anaerococcus,Firmicutes
Parvimonas,Firmicutes
Cellulosilyticum,Firmicutes
Lachnospiracea_incertae_sedis,Firmicutes
Clostridium_XlVb,Firmicutes
Anaerosporobacter,Firmicutes
Fusicatenibacter,Firmicutes
Clostridium_XlVa,Firmicutes
Stomatobaculum,Firmicutes
Howardella,Firmicutes
Dorea,Firmicutes
Oribacterium,Firmicutes
Ruminococcus2,Firmicutes
Blautia,Firmicutes
Hungatella,Firmicutes
Eisenbergiella,Firmicutes
Ruminococcus,Firmicutes
Clostridium_IV,Firmicutes
Faecalibacterium,Firmicutes
Gemmiger,Firmicutes
Anaerotruncus,Firmicutes
Hydrogenoanaerobacterium,Firmicutes
Butyricicoccus,Firmicutes
Pseudoflavonifractor,Firmicutes
Flavonifractor,Firmicutes
Intestinimonas,Firmicutes
Clostridium_III,Firmicutes
Oscillibacter,Firmicutes
Sporobacter,Firmicutes
Coprococcus,Firmicutes
Anaerostipes,Firmicutes
Saccharibacteria_genera_incertae_sedis,Candidatus_Saccharibacteria
Leadbetterella,Bacteroidetes
Cloacibacterium,Bacteroidetes
Flavobacterium,Bacteroidetes
Chryseobacterium,Bacteroidetes
Empedobacter,Bacteroidetes
Alistipes,Bacteroidetes
Petrimonas,Bacteroidetes
Barnesiella,Bacteroidetes
Prevotella,Bacteroidetes
Alloprevotella,Bacteroidetes
Paraprevotella,Bacteroidetes
Bacteroides,Bacteroidetes
Sphingobacterium,Bacteroidetes
Coprobacter,Bacteroidetes
Porphyromonas,Bacteroidetes
Odoribacter,Bacteroidetes
Butyricimonas,Bacteroidetes
Parabacteroides,Bacteroidetes
Flavitalea,Bacteroidetes
Arcobacter,Proteobacteria
Campylobacter,Proteobacteria
Terrisporobacter,Firmicutes
Clostridium_XI,Firmicutes
Romboutsia,Firmicutes
Mogibacterium,Firmicutes
Eubacterium,Firmicutes
Peptostreptococcus,Firmicutes
Intestinibacter,Firmicutes
Fusobacterium,Fusobacteria
Leptotrichia,Fusobacteria
Victivallis,Lentisphaerae
Mycoplasma,Tenericutes
Catenibacterium,Firmicutes
Clostridium_XVIII,Firmicutes
Holdemania,Firmicutes
Solobacterium,Firmicutes
Bulleidia,Firmicutes
Anaerorhabdus,Bacteroidetes
Faecalicoccus,Firmicutes
Allobaculum,Firmicutes
Faecalitalea,Firmicutes
Paenibacillus,Firmicutes
Exiguobacterium,Firmicutes
Lysinibacillus,Firmicutes
Turicibacter,Firmicutes
Gemella,Firmicutes
Lactobacillus,Firmicutes
Pediococcus,Firmicutes
Leuconostoc,Firmicutes
Weissella,Firmicutes
Streptococcus,Firmicutes
Lactococcus,Firmicutes
Abiotrophia,Firmicutes
Enterococcus,Firmicutes
Aerococcus,Firmicutes
Jeotgalibaca,Firmicutes
Staphylococcus,Firmicutes
Acidaminococcus,Firmicutes
Phascolarctobacterium,Firmicutes
Megamonas,Firmicutes
Mitsuokella,Firmicutes
Megasphaera,Firmicutes
Anaeroglobus,Firmicutes
Veillonella,Firmicutes
Allisonella,Firmicutes
Dialister,Firmicutes
Truepera,Deinococcus-Thermus
Pyramidobacter,Synergistetes
Synergistes,Synergistetes
Cloacibacillus,Synergistetes
Litorilinea,Chloroflexi
Oscillochloris,Chloroflexi
Roseiflexus,Chloroflexi
Subdivision3_genera_incertae_sedis,Verrucomicrobia
Akkermansia,Verrucomicrobia
Streptophyta,Cyanobacteria
WPS-1_genera_incertae_sedis,candidate_division_WPS-1
Pirellula,Planctomycetes
Planctomicrobium,Planctomycetes
Gp6,Acidobacteria
Nannocystis,Proteobacteria
Sorangium,Proteobacteria
Bilophila,Proteobacteria
Desulfovibrio,Proteobacteria
Paracoccus,Proteobacteria
Sphingomonas,Proteobacteria
